MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:3698433	1190007I07Rik	RIKEN cDNA 1190007I07 gene	10		mitochondrial inner membrane			ISO	Q69YU5 	J:164563 	
MGI:3698433	1190007I07Rik	RIKEN cDNA 1190007I07 gene	10		mitochondrion			IBA	PTN002003104 	J:265628 	
MGI:3698433	1190007I07Rik	RIKEN cDNA 1190007I07 gene	10		mitochondrion			IDA		J:287077 	
MGI:1919494	1600014C10Rik	RIKEN cDNA 1600014C10 gene	7		mitochondrial membrane			ISO	Q9NSK7 	J:164563 	
MGI:1919494	1600014C10Rik	RIKEN cDNA 1600014C10 gene	7		mitochondrion			ISO	Q9NSK7 	J:164563 	
MGI:1920547	1700034I23Rik	RIKEN cDNA 1700034I23 gene	3		integral component of mitochondrial outer membrane			IBA	PTN000482219 	J:265628 	
MGI:1920547	1700034I23Rik	RIKEN cDNA 1700034I23 gene	3		mitochondrion			HDA		J:151002 	
MGI:1920717	1700066M21Rik	RIKEN cDNA 1700066M21 gene	1		mitochondrion			IBA	PTN001262590 	J:265628 	
MGI:1920717	1700066M21Rik	RIKEN cDNA 1700066M21 gene	1		mitochondrion			ISO	Q8N8R5 	J:164563 	
MGI:1920893	1700123O20Rik	RIKEN cDNA 1700123O20 gene	14		mitochondrion			ISO	Q9NWQ9 	J:164563 	
MGI:1916349	1810009N02Rik	RIKEN cDNA 1810009N02 gene	12		mitochondrion			HDA		J:151002 	
MGI:1914955	1810058I24Rik	RIKEN cDNA 1810058I24 gene	6		mitochondrial intermembrane space			IDA		J:289587 	
MGI:1914955	1810058I24Rik	RIKEN cDNA 1810058I24 gene	6		mitochondrial outer membrane			IDA		J:289587 	
MGI:1914955	1810058I24Rik	RIKEN cDNA 1810058I24 gene	6		mitochondrion			IEA	KW-0496 	J:60000 	
MGI:1916780	2310002L09Rik	RIKEN cDNA 2310002L09 gene	4		mitochondrion			HDA		J:151002 	
MGI:1915527	2310057M21Rik	RIKEN cDNA 2310057M21 gene	7		mitochondrion			ISO	Q9H8K7 	J:164563 	
MGI:1916912	2310061I04Rik	RIKEN cDNA 2310061I04 gene	17		mitochondrion			HDA		J:151002 	
