Basic information,,,,Log2 Fold Change,,,,,,,,,Adjusted P-value,,,,,,,,,Normalized Peak Area: Samples,,,,,,,,,,,,,,,,,,,,,,,,Norm. Peak Area: Blanks (noise),,,,,,,Group CV [%],,,,,,,,
ID,Name,Calc. MW,RT [min],"(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)","(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)",S01_P40_WT1,S02_P40_KO1,S03_P40_WT2,S04_P40_KO2,S05_P40_WT3,S06_P40_KO3,S07_P40_WT4,S08_P40_KO4,S09_P2_WT1,S10_P2_KO1,S11_P2_WT2,S12_P2_KO2,S13_P2_WT3,S14_P2_KO3,S15_P2_WT4,S16_P2_KO4,S17_E14_5_WT1,S18_E14_5_KO1,S19_E14_5_WT2,S20_E14_5_KO2,S21_E14_5_WT3,S22_E14_5_KO3,S23_E14_5_WT4,S24_E14_5_KO4,blank01,blank02,blank03,blank04,blank05,blank06,blank07,"E14_5, KO","E14_5, WT","P2, KO","P2, WT","P40, KO","P40, WT",,,
A001_HILIC,Pyruvic acid,88.0160,3.93,-1.32,-0.31,-0.55,0.03,-0.27,-0.30,-0.98,-1.04,-0.05,0.589,1.000,1.000,1.000,1.000,1.000,0.192,0.040,1.000,65981041.9301625000,49115571.6642772000,66735485.1901814000,20593312.1065456000,50412006.3690673000,21765426.8810353000,50117528.9806846000,24986068.4664533000,53912632.4458052000,45752803.7796245000,53189423.3911802000,54520732.2663081000,75877131.5093493000,45033240.4029221000,60278509.2778903000,46642218.5290533000,82199146.1846575000,94650815.6226546000,93645756.6604415000,44785645.3953487000,58457950.3170810000,41117314.8945731000,52985122.0769060000,51091938.2536875000,2.0E+06,2.1E+06,6.7E+05,2.0E+06,2.4E+06,1.8E+06,2.9E+06,42.9,26.9,9.2,17.3,46.2,15.9,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pyruvic acid,88.0160,3.71,-0.11,B003,iHILIC_neg_2020,68.35,1031,C00022,HMDB0000243,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A002_HILIC,L-(+)-Alanine,89.0477,14.83,0.00,-0.05,-0.04,0.23,-0.34,-0.57,0.28,-0.29,-0.57,1.000,1.000,1.000,0.294,0.028,0.000,0.060,0.134,0.000,2286273235.7274300000,2531243577.6249300000,2418743636.6385100000,2231978067.3679600000,2148823341.9365500000,2020799403.2280000000,2128349994.5721000000,2215729189.8944000000,2118917331.8733200000,2034558567.8224200000,1897490940.4462600000,1615136845.6658600000,1801059680.7956700000,1710729487.8367300000,1881827200.7237500000,1946363863.1081700000,2759076745.9873000000,2811898321.4312800000,2845034995.1990300000,2337103581.7097000000,2951260876.2406200000,2625290860.2178900000,2644067939.6144500000,2908847786.8340700000,3.1E+06,2.7E+06,1.3E+06,2.9E+06,3.8E+05,3.1E+06,1.8E+06,9.4,4.7,10.8,7.1,9.4,6.0,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-(+)-Alanine,89.0477,14.80,0.34,A072,iHILIC_neg_2020,74.93,5735,C00041,HMDB0000161,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-(+)-Alanine,89.0477,14.86,0.34,A072,iHILIC_pos_2020,74.93,5735,C00041,HMDB0000161,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,In-source L-Cysteinesulfinic acid,89.0478,14.76,-1.02,,iHILIC_neg_2020,,,,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A003_HILIC,Sarcosine,89.0477,13.63,0.31,0.04,0.22,-4.07,-4.17,-0.09,-3.80,-4.07,-0.27,1.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,2846257.3720191000,3274575.7042645200,1836680.6101783200,3074481.5717029200,2561409.9064605400,2392991.6647616900,1300192.3853839400,1063540.9317284700,41445088.6846107000,42409803.6874448000,32529431.8358118000,31024718.0982242000,23681154.9933507000,33587936.8397921000,45078287.5533779000,48189457.3861868000,42941177.4595968000,42377874.6183585000,44804515.4249352000,58094573.3359404000,36068308.0185867000,49375770.8228537000,31223885.0855884000,34403077.5999162000,2.8E+05,9.2E+05,2.8E+05,1.2E+06,3.1E+05,1.2E+06,2.8E+05,21.9,16.2,20.4,26.9,40.8,32.8,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
